id,name,address,district,latitude,longitude,day_of_week,time_text,frequency,notes,is_active
1,山添公会堂,,緑地区,34.331248,134.837519,月,13時30分～,,,TRUE
2,川向公会堂（多目的ホール）,,緑地区,34.326081,134.829081,月,13時00分～,,,TRUE
3,,,緑地区,,,月,13時00分～,,,TRUE
4,緑老人福祉センター（緑グループ）,,緑地区,34.320443,134.831946,火・金,14時00分～,,,TRUE
5,大丸公会堂,,緑地区,34.324337,134.837353,木,13時30分～,,,TRUE
6,中田公会堂,,緑地区,34.324942,134.833952,火,14時00分～,,,TRUE
7,市場公会堂,,緑地区,34.321974,134.834985,水,15時00分～,,,TRUE
8,緑風館（藤南会）,,緑地区,34.317101,134.831946,木,9時30分～,,,TRUE
9,徳原公会堂,,緑地区,34.304311,134.817076,日,13時30分～,,,TRUE
10,中筋地区農村集落多目的共同利用施設,,緑地区,34.305923,134.828749,月,13時30分～,,,TRUE
11,コミュニティプラザながた,,緑地区,34.32564,134.793515,月,13時15分～,,,TRUE
12,倭文公民館（倭文庄田）,,緑地区,34.333689,134.788837,木,9時30分～,,,TRUE
13,土井集落センター（谷華会）,,緑地区,34.337017,134.807371,金,9時30分～,,,TRUE
14,福良地区公民館（うずしお生活学校）,,南淡地区,34.257572,134.722041,水,14時00分～,,,TRUE
15,福良地区公民館（なかよし会）,,南淡地区,34.257572,134.722041,火,10時00分～,,,TRUE
16,ハッピーふくら（旧福良保育園）,,南淡地区,34.258827,134.722846,金,13時30分～,,,TRUE
17,コミュニティプラザ向谷,,南淡地区,34.255356,134.722908,月・水,10時30分～,,,TRUE
18,アトリエ楓（北納屋町）,,南淡地区,34.258555,134.715466,金,9時00分～,,,TRUE
19,うずしお台,,南淡地区,34.25387,134.703588,水,10時00分～,,,TRUE
20,仁尾荘,,南淡地区,34.251119,134.702355,水,13時00分～,,,TRUE
21,ぴんしゃんクラブ（福良小学校）,,南淡地区,34.258125,134.712384,木,9時30分～,,,TRUE
22,市立図書館（なんでもできますぺーす）,,南淡地区,34.257523,134.723913,火・金,10時00分～,,,TRUE
23,賀集地区公民館,,南淡地区,34.262478,134.752625,水,10時00分～,,,TRUE
24,田中寿交会,,南淡地区,34.270724,134.747038,火,14時00分～,,,TRUE
